wd_plnt_nm,wd_plnt_idntfr,region_nm,region_type,woody_herbal,acquisition_term
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,서귀포시 안덕면 서광리,평지,2,6
메밀,9,휘닉스,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,한라수목원,평지,2,6
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,7
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
메밀,9,제주특별자치도 서귀포시 성산읍,평지,2,8
